full_name,workflow_identifier,workflow_id,workflow_path,run_id,run_number,run_attempt,created_at,run_started_at,run_updated_at,status,run_conclusion,event,head_branch,head_sha,html_url,target_style,styles_in_run_all,multi_style_run_flag,layer1_run_started_at_effective,layer1_run_ended_at_effective,layer1_run_duration_seconds_effective,layer1_run_timing_source,style_instru_job_count,style_instru_job_names,style_first_instru_job_name,style_first_instru_job_started_at,style_first_instru_job_source,style_last_instru_job_name,style_last_instru_job_completed_at,style_last_instru_job_source,style_distinct_job_count,style_distinct_job_base_name_count,style_matrix_like_job_count,style_matrix_expanded_flag,style_parallel_same_style_flag,style_max_parallel_jobs,style_repeated_same_style_flag,style_invocation_candidate_step_count_proxy,style_distinct_invocation_step_name_count_proxy,style_invocation_candidate_step_names_proxy,style_same_style_complexity_class,style_time_to_instrumentation_envelope_seconds,style_instrumentation_job_envelope_seconds,style_post_instrumentation_tail_seconds,style_layer1_model,style_anchor_job_name,style_anchor_job_started_at,style_anchor_job_completed_at,style_anchor_job_source,style_pre_invocation_seconds_proxy,style_invocation_execution_window_seconds_proxy,style_post_invocation_seconds_proxy,style_time_to_invocation_seconds_proxy,style_invocation_tail_seconds_proxy,style_time_to_instru_job_start_seconds,style_instru_job_envelope_seconds,style_post_instru_job_tail_seconds,style_job_detection_methods,style_job_segmentation_confidence,style_overlap_with_other_styles_flag,ambiguous_instru_job_names_in_run,all_instru_job_names_in_run,extracted_at_utc
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23358537727,2720,1,2026-03-20T19:08:49Z,2026-03-20T19:08:49Z,2026-03-20T19:33:31Z,completed,success,push,main,11044073a4ac82c42ebf33e6d4d7570a5b2375aa,https://github.com/connectbot/connectbot/actions/runs/23358537727,Community,Community,false,2026-03-20T19:08:49Z,2026-03-20T19:33:31Z,1482,run_api,1,Build and test,Build and test,2026-03-20T19:08:52Z,step_name_anchor,Build and test,2026-03-20T19:33:05Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1453,26,instrumentation_job_envelope,Build and test,2026-03-20T19:08:52Z,2026-03-20T19:33:05Z,step_name_anchor,3,1453,26,3,26,3,1453,26,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:51.202079+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23358533064,2719,1,2026-03-20T19:08:40Z,2026-03-20T19:08:40Z,2026-03-20T19:33:44Z,completed,success,push,main,9c2581801f81aafa8c9b47f5fe4496923a2f8e6d,https://github.com/connectbot/connectbot/actions/runs/23358533064,Community,Community,false,2026-03-20T19:08:40Z,2026-03-20T19:33:44Z,1504,run_api,1,Build and test,Build and test,2026-03-20T19:08:43Z,step_name_anchor,Build and test,2026-03-20T19:33:10Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1467,34,instrumentation_job_envelope,Build and test,2026-03-20T19:08:43Z,2026-03-20T19:33:10Z,step_name_anchor,3,1467,34,3,34,3,1467,34,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:51.560285+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23358527662,2718,1,2026-03-20T19:08:31Z,2026-03-20T19:08:31Z,2026-03-20T19:30:13Z,completed,success,push,main,1587bbc5fc8f4be4ab49504b65c286b4e7d09bd7,https://github.com/connectbot/connectbot/actions/runs/23358527662,Community,Community,false,2026-03-20T19:08:31Z,2026-03-20T19:30:13Z,1302,run_api,1,Build and test,Build and test,2026-03-20T19:08:34Z,step_name_anchor,Build and test,2026-03-20T19:29:47Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1273,26,instrumentation_job_envelope,Build and test,2026-03-20T19:08:34Z,2026-03-20T19:29:47Z,step_name_anchor,3,1273,26,3,26,3,1273,26,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:51.937079+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23358523864,2717,1,2026-03-20T19:08:25Z,2026-03-20T19:08:25Z,2026-03-20T19:30:39Z,completed,success,push,main,a2ffddb157aaed9638597cee0cf444e193bdbb36,https://github.com/connectbot/connectbot/actions/runs/23358523864,Community,Community,false,2026-03-20T19:08:25Z,2026-03-20T19:30:39Z,1334,run_api,1,Build and test,Build and test,2026-03-20T19:08:27Z,step_name_anchor,Build and test,2026-03-20T19:30:10Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1303,29,instrumentation_job_envelope,Build and test,2026-03-20T19:08:27Z,2026-03-20T19:30:10Z,step_name_anchor,2,1303,29,2,29,2,1303,29,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:52.280732+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23358519946,2716,1,2026-03-20T19:08:18Z,2026-03-20T19:08:18Z,2026-03-20T19:30:04Z,completed,success,push,main,6078d30d54b9d9ffbc5bae459b69b15546736123,https://github.com/connectbot/connectbot/actions/runs/23358519946,Community,Community,false,2026-03-20T19:08:18Z,2026-03-20T19:30:04Z,1306,run_api,1,Build and test,Build and test,2026-03-20T19:08:20Z,step_name_anchor,Build and test,2026-03-20T19:29:37Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1277,27,instrumentation_job_envelope,Build and test,2026-03-20T19:08:20Z,2026-03-20T19:29:37Z,step_name_anchor,2,1277,27,2,27,2,1277,27,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:52.605773+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23284302791,2713,1,2026-03-19T07:24:41Z,2026-03-19T07:24:41Z,2026-03-19T07:34:09Z,completed,success,schedule,main,0944e1b264e71d4345c83066223b8ab9ebf7ce4d,https://github.com/connectbot/connectbot/actions/runs/23284302791,Community,Community,false,2026-03-19T07:24:41Z,2026-03-19T07:34:09Z,568,run_api,1,Build and test,Build and test,2026-03-19T07:24:44Z,step_name_anchor,Build and test,2026-03-19T07:34:08Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,564,1,instrumentation_job_envelope,Build and test,2026-03-19T07:24:44Z,2026-03-19T07:34:08Z,step_name_anchor,3,564,1,3,1,3,564,1,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:52.846796+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23171866011,2707,1,2026-03-17T00:05:21Z,2026-03-17T00:05:21Z,2026-03-17T00:31:41Z,completed,success,push,main,0944e1b264e71d4345c83066223b8ab9ebf7ce4d,https://github.com/connectbot/connectbot/actions/runs/23171866011,Community,Community,false,2026-03-17T00:05:21Z,2026-03-17T00:31:41Z,1580,run_api,1,Build and test,Build and test,2026-03-17T00:05:23Z,step_name_anchor,Build and test,2026-03-17T00:31:06Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1543,35,instrumentation_job_envelope,Build and test,2026-03-17T00:05:23Z,2026-03-17T00:31:06Z,step_name_anchor,2,1543,35,2,35,2,1543,35,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:53.170661+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23171849685,2706,1,2026-03-17T00:04:48Z,2026-03-17T00:04:48Z,2026-03-17T00:30:40Z,completed,success,push,main,bac36988c6ad1d459cb3bdfc1afd6b7754c014c5,https://github.com/connectbot/connectbot/actions/runs/23171849685,Community,Community,false,2026-03-17T00:04:48Z,2026-03-17T00:30:40Z,1552,run_api,1,Build and test,Build and test,2026-03-17T00:04:50Z,step_name_anchor,Build and test,2026-03-17T00:30:10Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1520,30,instrumentation_job_envelope,Build and test,2026-03-17T00:04:50Z,2026-03-17T00:30:10Z,step_name_anchor,2,1520,30,2,30,2,1520,30,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:53.429743+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23171829938,2705,1,2026-03-17T00:04:05Z,2026-03-17T00:04:05Z,2026-03-17T00:29:19Z,completed,success,push,main,84463432802f13dfa2266c6086da1995a12e0e80,https://github.com/connectbot/connectbot/actions/runs/23171829938,Community,Community,false,2026-03-17T00:04:05Z,2026-03-17T00:29:19Z,1514,run_api,1,Build and test,Build and test,2026-03-17T00:04:07Z,step_name_anchor,Build and test,2026-03-17T00:28:45Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1478,34,instrumentation_job_envelope,Build and test,2026-03-17T00:04:07Z,2026-03-17T00:28:45Z,step_name_anchor,2,1478,34,2,34,2,1478,34,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:53.752696+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23171376761,2704,1,2026-03-16T23:47:29Z,2026-03-16T23:47:29Z,2026-03-17T00:13:56Z,completed,success,push,main,c0abd372aa446e729cddd3a88bbf4ba4052f08c7,https://github.com/connectbot/connectbot/actions/runs/23171376761,Community,Community,false,2026-03-16T23:47:29Z,2026-03-17T00:13:56Z,1587,run_api,1,Build and test,Build and test,2026-03-16T23:47:32Z,step_name_anchor,Build and test,2026-03-17T00:13:32Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1560,24,instrumentation_job_envelope,Build and test,2026-03-16T23:47:32Z,2026-03-17T00:13:32Z,step_name_anchor,3,1560,24,3,24,3,1560,24,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:54.059035+00:00
