full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,11,Prepare release,completed,success,2026-03-24T00:25:13+00:00,2026-03-24T00:25:14+00:00,1308,11,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,12,Store artifacts for upload,completed,success,2026-03-24T00:25:14+00:00,2026-03-24T00:25:16+00:00,1309,12,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,13,Post Setup Gradle,completed,success,2026-03-24T00:25:16+00:00,2026-03-24T00:26:15+00:00,1311,13,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,14,Post Set up JDK,completed,success,2026-03-24T00:26:15+00:00,2026-03-24T00:26:15+00:00,1370,14,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,15,Post Checkout (with history),completed,success,2026-03-24T00:26:15+00:00,2026-03-24T00:26:15+00:00,1370,15,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,16,Complete job,completed,success,2026-03-24T00:26:15+00:00,2026-03-24T00:26:15+00:00,1370,16,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Upload to GitHub releases,1,Set up job,completed,success,2026-03-24T00:26:19+00:00,2026-03-24T00:26:21+00:00,1374,17,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Upload to GitHub releases,2,Download artifacts from previous job,completed,success,2026-03-24T00:26:21+00:00,2026-03-24T00:26:23+00:00,1376,18,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Upload to GitHub releases,3,Set release name,completed,success,2026-03-24T00:26:23+00:00,2026-03-24T00:26:23+00:00,1378,19,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Upload to GitHub releases,4,Upload release,completed,success,2026-03-24T00:26:23+00:00,2026-03-24T00:26:30+00:00,1378,20,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Upload to GitHub releases,5,Complete job,completed,success,2026-03-24T00:26:30+00:00,2026-03-24T00:26:30+00:00,1385,21,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,1,Set up job,completed,success,2026-03-24T00:26:34+00:00,2026-03-24T00:26:36+00:00,1389,22,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,2,Pull ghcr.io/distributhor/workflow-webhook-container:v3.0.8,completed,success,2026-03-24T00:26:36+00:00,2026-03-24T00:26:40+00:00,1391,23,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,3,Download artifacts from previous job,completed,success,2026-03-24T00:26:40+00:00,2026-03-24T00:26:45+00:00,1395,24,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,4,Set release name,completed,success,2026-03-24T00:26:45+00:00,2026-03-24T00:26:45+00:00,1400,25,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,5,Call remote signer,completed,success,2026-03-24T00:26:45+00:00,2026-03-24T00:26:45+00:00,1400,26,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Trigger remote signing,6,Complete job,completed,success,2026-03-24T00:26:45+00:00,2026-03-24T00:26:45+00:00,1400,27,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,1,Set up job,completed,success,2026-03-23T21:57:59+00:00,2026-03-23T21:58:05+00:00,5,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-23T21:58:05+00:00,2026-03-23T21:58:07+00:00,11,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-23T21:58:07+00:00,2026-03-23T21:58:07+00:00,13,3,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,4,Set up JDK,completed,success,2026-03-23T21:58:07+00:00,2026-03-23T21:58:12+00:00,13,4,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,5,Setup Gradle,completed,success,2026-03-23T21:58:12+00:00,2026-03-23T21:58:38+00:00,18,5,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,6,Delete old Android SDK cmdline-tools,completed,success,2026-03-23T21:58:38+00:00,2026-03-23T21:58:38+00:00,44,6,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,7,Setup Android SDK,completed,success,2026-03-23T21:58:38+00:00,2026-03-23T21:58:59+00:00,44,7,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,8,Build ConnectBot,completed,success,2026-03-23T21:58:59+00:00,2026-03-23T22:11:31+00:00,65,8,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,9,Enable KVM for emulator and clear up space,completed,success,2026-03-23T22:11:31+00:00,2026-03-23T22:12:06+00:00,817,9,True,False,False,False,False,False,True,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,10,Run instrument tests,completed,success,2026-03-23T22:12:06+00:00,2026-03-23T22:18:55+00:00,852,10,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,11,Prepare release,completed,success,2026-03-23T22:18:55+00:00,2026-03-23T22:18:56+00:00,1261,11,False,False,False,False,False,False,False,False,False
